(-5.78, 20.61, 2.02)
(-0.29, 25.08, 6.62)
(-4.18, 20.82, 7.02)
(-2.99, 22.64, 5.99)
(-5.17, 21.35, 4.5)
(0.99, 27.51, 4.18)
(-0.47, 25.95, 3.74)
(-3.11, 23.63, 3.64)
(-5.19, 21.89, 3.36)
(-7.18, 28.96, 3.33)
(-6.78, 26.23, 3.16)
(-6.15, 22.19, 2.93)
(-6.2, 24.19, 2.92)
(-6.24, 20.73, 2.95)
(-7.05, 27.74, -2.62)
(-7.22, 25.67, -1.67)
(-7.08, 22.87, -0.9)
(-6.15, 21.05, 0.33)
(-7.39, 20.21, -0.61)
(-3.05, 19.78, -1.0)
(-3.01, 19.8, 0.3)
(0.92, 16.08, 3.8)
(0.35, 17.9, 2.44)
(5.51, 17.8, 2.34)
(2.03, 18.66, 1.58)
(-0.27, 20.06, 1.06)
(0.53, 21.95, 0.28)
(-1.52, 20.5, 0.68)
(-4.14, 18.9, -0.39)
(-5.1, 18.45, -0.11)
(-6.32, 18.71, 0.64)
(-7.51, 19.07, -0.05)
(-8.09, 19.88, -0.29)
(-17.82, 16.98, -2.34)
(-16.65, 17.39, -0.82)
(-15.1, 16.28, 0.42)
(-13.37, 14.6, 0.61)
(-12.59, 12.18, 0.58)
(-10.91, 13.57, -0.44)
(-13.2, 16.15, -7.46)
(-11.85, 13.65, -5.6)
(-10.15, 13.24, -2.8)
(3.73, 13.72, -5.54)
(1.33, 10.34, -3.96)
(-0.37, 11.94, -3.57)
(0.69, 13.21, -4.29)
(-1.63, 14.21, -3.97)
(3.14, 17.12, -6.18)
(-0.62, 16.86, -5.06)
(-4.31, 15.64, -3.74)
(-5.31, 17.54, -11.71)
(-4.77, 18.91, -10.27)
(-5.95, 17.93, -8.3)
(-6.35, 16.47, -5.41)
(-8.08, 11.2, -7.88)
(-6.6, 9.03, -8.01)
(-7.29, 10.61, -6.01)
(-6.44, 10.34, -4.38)
(-7.28, 12.47, -4.69)
(-6.82, 14.52, -3.94)
(-6.66, 15.74, -2.09)
(-8.25, 14.78, -1.11)
(-7.2, 16.54, -0.32)
(-7.45, 18.23, -0.33)
(-9.39, 21.38, 0.99)
(-8.14, 19.44, -1.72)
(-10.33, 19.46, -10.11)
(-9.88, 18.93, -8.36)
(-9.15, 19.68, -7.01)
(-10.81, 25.1, -6.09)
(-9.42, 22.42, -6.88)
(-8.7, 19.96, -4.48)

